1girl, 1 девушка
sexual_harassment, сексуальное домогательство
no_symbol, нет_символа
dou, доу
reverse_nursing_handjob, обратное_наращивание_ручной работы
camouflage_bikini, камуфляж_бикини
kotomine_kirei_(fate/zero), котомине_кирей_(судьба/ноль)
naked_paint, обнаженная краска
gunpla, ганпла
nero_claudius_(bride)_(second_ascension)_(fate), неро_клаудиус_(невеста)_(второе вознесение)_(судьба)
grass_root_youkai_network, низовая сеть youkai
ushiromiya_rosa, уширомия_роса
hachune_miku, хачуне_мику
butterfree, без масла
evertale, вечнозеленый
night_sparrow_love, ночная воробьиная любовь
shu_yamino, шу_ямино
murasaki_shikibu_(first_ascension)_(fate), мурасаки_шикибу_(первое восхождение)_(судьба)
read_or_die, читай_ор_ди
tales_of_eternia, сказки о вечности
white_sleeve_cuffs, белые манжеты на рукавах
peeking_through_fingers, подглядывание сквозь пальцы
cure_passion, исцеление от страсти
bound_thighs, ограниченные размеры
oryou_(girls_und_panzer), или ты(girls_und_panzer)
guel_jeturk, гел_жетурк
gunslinger_girl, девушка-стрелок
purple_corset, пурпурный_корсет
fujoshi, фудзоши
princess_of_the_crystal, принцесса из кристалла
asymmetrical_armor, асимметричная броня
hazawa_tsugumi, хазава_цугуми
kamen_rider_dcd, каменный всадник_dcd
paper_on_head, бумага на голове
erwin_smith, эрвин смит
coffee_maker, кофеварка
pixiv_fantasia_age_of_starlight, пиксель_фантазии_на_свете_звезды
anna_miller, анна Миллер
aircraft_carrier_oni, самолет -перевозчик_они
milkshake, молочный коктейль
hooded_shirt, рубашка с капюшоном
sketch_background, эскиз_бэкграунда
oozora_subaru_(hololive_summer_2019), озора_субару(hololive_summer_2019)
jibanyan, джибанян
zoroark, зороарк
scooby-doo, скуби-ду
ronald_mcdonald, рональд_мкдональд
flower_bed, цветочная клумба
amphibia, амфибия
tales_of_arise, рассказы о возникновении
space_ishtar_(fate), космический_штар_(судьба)
animal_sexualization, животная сексуализация
rachnera_arachnera, рахнера_арачнера
myrtenaster, миртенастер
pussy_juice_on_fingers, киска с соком на пальчиках
bravely_default:_flying_fairy, храбрый по умолчанию:_flying_fairy
rubber_band, резиновая лента
zinnia_(pokemon), цинния(покемон)
purple_armband, пурпурная повязка
misogi_(princess_connect!), женоненавистник(подключи принцессу!)
hinata_yukari, хината_юкари
professor_shinonome, профессор_шиноном
label_girl_(dipp), девушка с ярлыком(дипп)
ushiromiya_natsuhi, уширомия_нацухи
kagurazaka_asuna, кагуразака_асуна
aoi_(blue_archive), aoi_(синий архив)
poppy_(league_of_legends), поппи(лига легенд)
namine, намине
text_in_eyes, текст_в_ глазах
glowing_petals, светящиеся лепестки
number_pun, число_пункт
makai_senki_disgaea_3, макай_сенки_дисгеа_3
giraffe, жираф
evil_eyes, злые глаза
enomoto_noa, эномото_ноа
howl_(howl_no_ugoku_shiro), вой(вой_но_угоку_широ)
silver_the_hedgehog, серебряный еж
biplane, биплан
battery, батарея
elpeo_puru, элпео_пуру
gotoh_hitori_(octopus), готохитори(осьминог)
marceline_abadeer, марселин_абадир
on_boat, на лодке
millennium_puzzle, тысячелетняя головоломка
core, ядро
undone_neckerchief, развязанный шейный платок
getabako, гетабако
the_end_of_evangelion, конец света в Евангелии
uu~, ууу~
hummy_(suite_precure), хамми_(подходящий вариант)
xblaze, xblaze (черный)
fujibayashi_ryou, фудзибаяши_рю
mishou_mai, мишоу_май
irys_(irys_2.0)_(hololive), irys_(irys_2.0)_(гололив)
nesoberi, несобери
nihongami, нихонгами
houndoom, охотничий домик
murasame_(senren), мурасаме(сенрен)
mutsuki_(azur_lane), муцуки(азур_лейн)
yana_(chihuri), яна(чихури)
listen!!, слушай!!
shuten_douji_(first_ascension)_(fate), шутен_дужи_(первое восхождение)_(судьба)
occultic;nine, оккультный; девять
yoake_mae_yori_ruri_iro_na, йоаке_мае_йори_рури_иро_на
ishtar_(fire_emblem), иштар(огненный символ)
nigirizushi, нигиридзуши
reu_(cookie), reu_(файл cookie)
yen_sign, иен_знак
prostate_milking, доение предстательной железы
cure_berry, целебная ягода
gilgamesh_(immoral_biker_jacket)_(fate), гильгамеш_(аморальный байкер_жакет)_(судьба)
atelier_live, ателье_live
ribbon_between_breasts, лента между грудями
pliers, плоскогубцы
clothes_in_front, одежда на передней панели
single_bare_arm, одиночная рукоятка
pixiv_fantasia_new_world, пиксель_фантазии_новый_мир
shuu_(inazuma_eleven), шуу_(неразумный_левен)
code_geass:_lost_stories, code_geass:потерянные истории
lum_(cosplay), люм_(косплей)
kore_wa_zombie_desu_ka?, корейская косметичка?
boom_barrier, бумбарьер
hololive_grand_theft_auto, hololive_grand_theft_auto гололив_grand_theft_auto
michiru_(blue_archive), мичиру_(синий архив)
mage_(dungeon_and_fighter), маг(обитатель подземелья и боец)
alcohol_carton, алкоголь_картон
chougei_(kancolle), шампанское(канколле)
froakie, фроки
dolphin_girl, девушка-дельфин
unworn_slippers, неношеные шлепанцы
apple_slice, яблочный срез
face_grab, face_grab (захват лица)
spiked_jacket, шипастая куртка
mint_blancmanche, мятный бланманже
cycling_uniform, циклическая_единица
leonie_pinelli, леони Пинелли
red_blindfold, красная повязка
fujino_shizuru, фудзино_шизуру
dragon_quest_vi, дракон_квест_vi
saber_(fate)_(cosplay), сабля_(судьба)_(косплей)
kumbhira_(granblue_fantasy), кумбхира(granblue_fantasy)
mayonnaise, майонез
houshou_marine_(marching_band), хаушоу_марине(марширующая группа)
mismatched_wings, несовпадающие крылья
naked_chocolate, обнаженный шоколад
oden, оден
centorea_shianus, центорея_шианус
stellar_blade, звездный клинок
horrified, напуганный
battle_damage, боевой ущерб
finger_tattoo, татуировка пальцем
treasure, сокровище
futaki_kanata, футаки_каната
pink_diamond_765_(idolmaster), pink_diamond_765_(мастер кумиров)
funnels_(gundam), воронки_(гандам)
mars_(cookie), mars_(печенье)
for_adoption, для_адополнения
ima-no-tsurugi, има-но-цуруги
autofacial, аутотренинг лица
dabi_(boku_no_hero_academia), даби(боку_но_герой_академии)
bell-bottoms, брюки-клеш
one_arm_handstand, стойка на одной руке
nonohara_yuzuko, нонохара_юзуко
shinx, шинкс
chrome_dokuro, chrome_докуро
whale_hat, китовый кот
bikini_tug, бикини -туг
wrapped_up, завернутый в пленку
tsurugi_kyousuke, цуруги_кюсукэ
breast_zipper, застежка-молния для груди
hazama, хазама
deviantart_sample, образец девиантного искусства
itsuka_kotori, ицука_котори
naegi_komaru, нэги_комару
pixel_heart, пиксельное сердце
sen_no_kiseki_iv, сен_но_кисеки_ив
luka_(mon-musu_quest!), лука(вопрос к моему музею!)
kimura_natsuki, кимура_нацуки
shot_glass, выстрел_глассом
transparent_border, прозрачная граница
female_ejaculation_through_clothes, женская эякуляция через одежду
danna_ga_nani_wo_itte_iru_ka_wakaranai_ken, данна_га_нани_во_итте_иру_ка_вакаранаи_кен
monocle_chain, цепочка для монокля
death-sensei_(mori_calliope), сенсей смерти(мори_каллиопа)
3.1-tan, 3.1-загар
hololive_dance_practice_uniform, hololive_dance_practice_uniform - это танцевальная практика.
snow_leopard_girl, снежный леопард_герл
kai_no_kiseki, кай_но_кисеки
homura_(senran_kagura), хомура_(сенран_кагура)
paradox_live, парадокс_живой
handa_roco, ханда_роко
spots, пятна
sakurai_touko, сакураи_тоуко
sazaki_kaoruko, сазаки_каруко
vladilena_millize, владилена_миллиз
starscream, старскрим
takayama_sayoko, такаяма_сайоко
earphones_removed, наушники сняты
hot_air_balloon, горячий воздушный шарик
amamiya_hibiya, амамия_хибия
unconnected_marketeers, несвязанные маркетологи
zagreus_(hades), загрей(гадес)
sakura_miko_(school_uniform), сакура_мико_(школьная форма)
american_beaver_(kemono_friends), американский путешественник(kemono_friends)
yuugiri_(zombie_land_saga), югири(сага о стране зомби)
cure_rosetta, лечение розетты
ant, муравей
tsuki_ni_kawatte_oshioki_yo, цуки_ни_каватте_ошиоки_йо
detached_pants, отстегнутые брюки
kansaiben, кансайбен
rice_cooker, рисоварка
latex_boots, латексные ботинки
drawing_(action), рисование_(действие)
dildo_under_panties, фаллоимитатор под трусиками
jade_(honkai:_star_rail), джейд(хонкай: звездный рельс)
tour_guide, экскурсовод
xenosaga_episode_iii, ксеносага_эпизод_iii
whale_tail_(clothing), китовый хвост(одежда)
megu_(blue_archive), мегу_(синий архив)
tank_turret, танк_туррет
hikami_sumire, хиками_сумире
arc_the_lad_ii, дуга_те_лад_іі
eugeo, юджио
kongou_(aoki_hagane_no_arpeggio), конгоу(аоки хаганэ, но не арпеджио)
flannery_(pokemon), фланнери(покемон)
yellow_armor, желтая броня
daifuku_(yukihana_lamy), дайфуку(юкихана лами)
salt_shaker, солонка
urban_legend_in_limbo, городская легенда_в_лимбо
azul_ashengrotto, азул_ашенгротто
unworn_swimsuit, неношеный спортивный костюм
da_capo_ii, да_капо_ии
evangeline_a.k._mcdowell, евангелина_а.к.Макдауэлл
oran_berry, апельсин_берри
mekakucity_actors, мекакусити_акторы
gunbuster_pose, предполагаемый стрелок
tote_bag, сумка-тоут
black_sleeve_cuffs, черные манжеты на рукавах
tokitou_muichirou, токитоу_муйчироу
frilled_sash, оборка_шляпка
pill_hair_ornament, украшение для волос в виде пилюль
paw_hair_ornament, украшение для лап и волос
pien_cat_(needy_girl_overdose), котенок(нуждающаяся в передозировке девушка)
incoming_drink, входящий напиток
yamagishi_yukako, ямагиши_юкако
pa-15_(girls'_frontline), pa-15_(линия фронта для девочек)
foo_fighters_(jojo), foo_fighters_(джоджо)
inui_sajuna, инуи_саджуна
gundam_aerial, гандам_аэриал
black_butterfly, черная бабочка
fish_skeleton, рыбный скелет
prince_of_lan_ling_(fate), принц_лани_линга(судьба)
lain_paterson_(1st_costume), лайн_патерсон_(1-й_костюм)
sleeve_rolled_up, закатанный рукав
rose_bush, розовый куст
screenshot, скриншот
kindergarten_bag, сумка для детского сада
shanks_(one_piece), черенки (по одной штуке)
ocarina, окарина
arbok, арбок
beyblade, бейблейд
ogami_tamaki, огами_тамаки
ass_hair, волосы на заднице
thigh_straddling, оседлывание бедер
postbox_(outgoing_mail), почтовый ящик_(исходящая почта)
holding_pointer, удерживающий указатель
vei_(vtuber), вей_(втубер)
dragon_bubble_(arknights), драконий пузырь(аркнайты)
shauna_(pokemon), шона(покемон)
age_of_ishtaria, возраст_иштарии
heart_eyepatch, повязка на глаза с сердечком
cinnabar_(houseki_no_kuni), киноварь(хаусеки_но_куни)
long_mustache, длинные усы
brand_of_the_exalt, бренд_из_сальта
spiked_penis, пенис с шипами
momoi_airi, момои_айри
hamburger_steak, стейк из гамбургера
traffic_mirror, дорожное зеркало
national_shin_ooshima_school_uniform, национальный_шин_шима_школа_единая
emily_stewart, эмили Стюарт
super_heroine_boy, супергеройский мальчик
hakuo_school_uniform, хакуо_школа_единая
rory_mercury, рори_ртуть
bnw_(umamusume), bnw_(умамусуме)
taking_shelter, укрывающийся
fingering_from_behind, перебирание пальцами из-за спины
kyoufuu_all_back_(vocaloid), kyoufuu_all_back_(вокалоид)
arceus, арсей
sitting_on_head, сидящий на голове
puck_(re:zero), шайба(повторно:ноль)
top_wo_nerae!, лучшие из лучших!
handrail, поручень
draco_centauros, драко_центавр
listener_(inugami_korone), слушатель(инугами_короне)
flower_trim, цветочная подстрижка
saga_frontier_2, сага_фронти_2
lingsha_(honkai:_star_rail), лингша(хонкай: звездный путь)
mechanical_buddy_universe, механический_буддист_вселенной
hyakkaou_academy_school_uniform, хяккаоу_академия_школа_единая
applin, приложение
bulge_to_ass, выпуклость_в_асс
ghost_print, призрачный отпечаток
robert_e._o._speedwagon, роберт_е._о._скоростной вагон
shimura_shinpachi, шимура_шинпачи
black_souls_2, черные_души_2
shiraishi_yoshitake, сираиши еситаке
tatebayashi_sakurako, татебаяши сакурако
mistletoe, омела
scanty_(psg), скудоумие(псж)
makoto_(princess_connect!), макото(принцесса, подключайся!)
ikezawa_hanako, икезава_ханако
serasuku, серасуку
yellow_lips, желтые губки
my_little_pony:_equestria_girls, моя маленькая пони: девочки из квестрии
print_leotard, печать_леотард
yoshida_hirofumi, йошида_хирофуми
trotter_(honkai:_star_rail), троттер(хонкай: звездный рельс)
testicle_peek, тестикул_пик
bursting_ass, взрывной_асс
nanakusa_nazuna_(yofukashi_no_uta), нанакуса назуна(йофукаши_но_ута)
shigaraki_tomura, шигараки_томура
kidou_keisatsu_patlabor, кидоу_кейсацу_патлабор
family_guy, семейный парень
precum_string, предварительная строка
surintendante_chevalmarin, старший лейтенант шевальмарин
cure_beat, исцеляющий ритм
flip_flappers, хлопушки
elan_ceres, элан_серес
takano_miyo, такано_мие
maestrale_(kancolle), маэстро(канколле)
laharl, лахарл
billiard_ball, бильярдный мяч
pleated_sleeves, плиссированные рукава
naruko_(naruto), наруко(наруто)
buttjob_over_clothes, обтягивающая одежда для ягодиц
planetary_ring, планетарное кольцо
chun-li_(cosplay), чун-ли(косплей)
colette_brunel, colette_брюнель
witchblade, ведьмин клинок
kikkoumon, киккумон
cure_muse_(yellow), cure_muse_(желтый)
two-tone_horns, двухцветные рога
thumb_sucking, сосание большим пальцем
holding_butterfly_net, удерживающий_butterfly_net
blue_oath, синяя пустыня
grea_(shingeki_no_bahamut), великий(шингеки_но_бахамут)
nudist_beach_uniform, нудистский пляж в едином стиле
satono_crown_(umamusume), сатоно_корон(умамусуме)
sharena_(fire_emblem), шарена(огненное объединение)
dr._eggman, доктор Эггман
tokiwadai_school_gym_uniform, токивадай_школьная_гимнастическая школа
school_girl_strikers, школьницы-забастовщицы
advanced_nurturing_high_school_uniform, продвинутое обучение в высшей школе
m16a1, м16а1
shin_godzilla, шин_годзилла
majima_goro, маджима_горо
water_slide, водный оползень
yui_(sao), юи_(sao)
achiga_school_uniform, ачига_школа_единая
nagato_kai_ni_(kancolle), нагато_кайни_(канколле)
watson_amelia_(street_casual), watson_amelia_(уличный_ случайный)
female_orc, женский_орк
tokimeki_memorial_girl's_side, токимэки - девушка с воспоминаниями на стороне
kafu_(cevio), кафу_(севио)
kayari_buta, каяри_бута
single_drill, одиночный_бур
food_on_clothes, еда на одежде
akemi_homura_(cosplay), акеми_хомура_(косплей)
black_straps, черные ремешки
chocolate_cornet, шоколадный корнет
re:act, re:действуй
shirogane_miyuki, широгане_миюки
racing_miku_(2022), гонка_мику(2022)
mine_(blue_archive), мой_(синий_архив)
canister, канистра
ieiri_shoko, иири_шоко
headwear_with_attached_mittens, головные уборы с прикрепленными к ним варежками
hat_pin, шляпная булавка
owarimonogatari, оваримоногатари
jackal_boy, мальчик-шакал
ulti_(one_piece), конечный_(один_шт)
cirno_day, выходной день
see-through_shawl, прозрачная шаль
zoya_petrovna_vecheslova, зоя Петровна вечеслова
essex_(azur_lane), эссекс(азур-лейн)
iris_heart, ирис_харт
purple_outline, пурпурный_отвод
fuwa_kokone, фува_коконе
subarashiki_hibi, субарашики_хиби
mp7_(girls'_frontline), mp7_(линия фронта для девочек)
gensou_suikoden_ii, генсу_суикоден_ии
tiger_cub, тигровый куб
nishizono_mio, нишизоно_мио
grani_(arknights), грани_(аркнайты)
staff_of_homa_(genshin_impact), персонал_дома_(геншин_импакт)
lissa_(fire_emblem), лисса(огненное объединение)
sakaki_yuya, сакаки_юя
foregrip, передняя рукоятка
kiryu_coco_(loungewear), kiryu_coco_(одежда для отдыха)
warlock_(ragnarok_online), колдун_(рагнарек_онлайн)
abukuma_kai_ni_(kancolle), абукума_кай_ни(канколле)
blood_spray, брызги крови
mazinger_z, мазингер_з
grand_theft_auto, гранд_нефть_авто
sweeping, подметание
marionette, марионетка
in_orbit, на орбите
doukyuusei, доукьюсей
ushiromiya_lion, уширомия_лион
crustacean, ракообразное
angelfish, рыба-ангел
ozen, озен
tsukuyo_(blue_archive), цукуйо_(синий архив)
tasting, дегустация
wobbuffet, воббуффет
kitarou, китароу
gate_of_babylon_(fate), врата вавилона(судьба)
minccino, мясной фарш
pink_innertube, розовая трубка
project_kv, проект_kv
snow_white, белоснежный снег
cave_interior, внутреннее предостережение
genos, генос
unworn_cape, неношеный пейзаж
sakamoto_(nichijou), сакамото(ничидзе)
untied_bikini_top, развязанный_бикини_топ
huai_yunqing, хуай_юньцин
hinomori_shizuku, хиномори_шизуку
koyanskaya_(assassin)_(first_ascension)_(fate), коянская_(убийца)_(первое восхождение)_(судьба)
shin'you_(kancolle), шин'ты(канколле)
pizza_hut, пицца_хут
25-ji_miku, 25-джи_мику
hand_on_own_penis, передаю_в_а_н_й_ пенис
nelliel_tu_odelschwanck, нелли_ту_одельшванк
grisaia_no_kajitsu, гризайя_но_каджицу
translucent_hair, полупрозрачные волосы
annie_(league_of_legends), энни(лига легенд)
aa-12_(girls'_frontline), аа-12_(линия фронта для девочек)
disco_ball, дискобол
do_it_yourself!!, делай это сам!!
medaka_box, медака_бокс
barbie_(franchise), барби(франшиза)
sakaki_(azumanga_daioh), сакаки(азуманга_дайох)
tokyo_big_sight, Токио - большой город.
izumi_(blue_archive), изуми_(синий архив)
momose_rio, момусе_рио
another, другой
kirisaki_chitoge, кирисаки_читоге
kanno_naoe, канно_наое
mother's_day, день матери
undone_sarashi, отмененный_сараши
elizabeth_liones, элизабет лионес
slouching, сутулый
throat_bulge, выпуклость в горле
plaid_trim, плед_трим
elbow_sleeve, рукав для локтя
illumi_zoldyck, иллюми_золдик
cutiefly, милашка-муха
single_earphone_removed, одиночный_архив_удаленный_фонарь
forward_facing_horns, переадресовывающие_горны
caren_hortensia_(amor_caren), гортензия каренская(amor_caren)
protagonist_(pso2), главный герой(pso2)
arcaea, аркея
stuffed_fish, фаршированная рыба
pikmin_4, пикмин_4
delivery, доставка
purple_suit, пурпурный костюм
euphonium, благоухание
orange_bandana, оранжевая бандана
lockon_stratos, локон_стратос
orange_eyeshadow, оранжевая тень для глаз
xilonen_(genshin_impact), ксилонен(геншин_импакт)
cat_choker, кошачий чокер
cornrows, косички
goldmary_(fire_emblem), золотая Мэри(огненный союз)
nihilego, ничтожество
broken_wall, сломанная стена
takemaru_(housamo), такемару(хаусамо)
a_channel, a_канал
horns_pose, рожки_позиции
queen_(playing_card), дама(игровая карта)
kimi_ga_shine, кими_га_шайн
azusa_(swimsuit)_(blue_archive), азуса(купальник)(синий архив)
wily_beast_and_weakest_creature, дикое и слабенькое создание
urbosa, урбоса
sony, сони
stuffed_sheep, начиненный овцой
tobiichi_origami, тобиичи_оригами
francis_drake_(fate), фрэнсис Дрейк(судьба)
turntable, проигрыватель
shinza_bansho_series, shinza_bansho_сериалы
shameimaru_aya_(newsboy), шамеймару_айя(разносчик газет)
matsuoka_miu, мацуока_миу
dragonair, драконий воздух
iwasaki_minami, ивасаки_минами
dress_ribbon, платье_риббон
mage_(ragnarok_online), маг_(рагнарек_онлайн)
ips_cells, ips_элементы
aegir_(housamo), эгир(хаусамо)
mugetsu_(touhou), мугэцу(тохоу)
7th_dragon_2020, 7-й_драгон_2020
watermark_grid, сетка водяных знаков
transcend_(umamusume), трансцендентный_(умамусуме)
breath_of_fire_iv, дыхание_из_жигания_iv
finger_counting, подсчет пальцев
buttercup_(ppg), лютик_(ppg)
typhon_(arknights), тифон(рыцари ковчега)
black-tailed_prairie_dog_(kemono_friends), чернохвостая охотничья собака(kemono_friends)
white_pikmin, белый пикмин
witch's_labyrinth, ведьмин лабиринт
art_shift, арт_шифт
ipad, ipad
agumon, агумон
ishikei_(style), ишикей_(стиль)
marina_(blue_archive), марина(blue_archive)
ice_crystal, ледяной кристалл
three_quarter_profile, трехквартальный профиль
grate, решетка
istina_(arknights), истина(аркнайты)
noir_(nikke), черный(никке)
tanghulu, тангулу
ribbon-trimmed_bra, обрезанная ленточкой_бра
pegging, привязка
skull_belt, пояс для черепа
mexico, Мексика
hitotsuyanagi_riri, хитоцуянаги рири
imperial_japanese_navy, императорский_японский_нави
string_of_light_bulbs, строка_из_лампочек
theresa_apocalypse_(luna_kindred), тереза_апокалипсис_(лунно_родная)
cheesecake, чизкейк
snapping_fingers, щелкающие пальцы
puzzle, головоломка
big_man_(splatoon), большой человек(сплатун)
mihama_chiyo, михама_чийо
onigirya_(nekomata_okayu), онигиря_(некомата_окаю)
renne_(eiyuu_densetsu), ренне(эйюу_денсецу)
costume_request, костюм_запрос
igawa_asagi, игава_асаги
doukutsu_monogatari, дукуцу-моногатари
market, рынок
five-seven_(girls'_frontline), пять-семь(линия фронта для девочек)
shiori_(princess_connect!), шиори(принцесса, подключайся!)
gantz, ганц
yoga, йога
starting_block, начальный блок
multicolored_shorts, разноцветные шорты
white_album_(series), белый альбом(серия)
aqua_pupils, аквапупилы
lifeline_(apex_legends), линия жизни(apex_legends)
nea_(chihuri), неа(чихури)
serena_(yu-gi-oh!), серена(ю-ги-о!)
collared_shrug, воротник-хомут
shamisen, сямисэн
airi_(queen's_blade), эйри (клинок королевы)
chrollo_lucilfer, хролло_люсилфер
glove_in_mouth, перчатка_в_ рту
hayakawa_tazuna, хаякава_тазуна
socks_over_pantyhose, носки поверх колготок
v_legs, v_леги
raora_panthera_(1st_costume), раора_пантера_(1-й костюм)
dragon_quest_vii, дракон_квест_vii
greek_mythology, греческая мифология
leg_cutout, вырез ноги
monika_weisswind, моника_вейссвинд
carol_malus_dienheim, кэрол_малус_диенхайм
holding_bass_guitar, удерживающий_басс_гитар
roller_coaster, американские горки
mudra, мудра
harbor, гавань
sheikah_slate, шейх_слейт
yellow_teeth, желтые зубы
yaranaika, яранайка
cupping_glass, чашечное стекло
ammunition_box, коробка с боеприпасами
vsk-94_(girls'_frontline), вск-94_(линия фронта для девочек)
legacy_of_lunatic_kingdom, наследие лунатического королевства
ines_fujin_(umamusume), инес_фуджин_(умамусуме)
rito, рито
food-themed_background, еда-тематический фон
staryu, старую
garlean, гарлианский
breasts_day, день кормления грудью
collar_tug, воротник_туг
dog_(mixed_breed)_(kemono_friends), собака _(смешанной породы)_(друзья кемоно_)
kotozume_yukari, котозуме_юкари
fluttershy, флаттершай
gradient_sleeves, градиентные рукава
eruruu, эрурууу
kung_fu, кунг-фу
croissant_(arknights), круассан_(аркнайтс)
noctchill_(idolmaster), noctchill_(повелитель богов)
sono_midoriko, соно_мидорико
kim_dokja, ким_докья
warspite_(azur_lane), поле битвы(азур_лейн)
sledgehammer, кувалда
fran_(ff12), фран_(ff12)
cure_prism, лечебный призм
artoria_pendragon_(swimsuit_archer)_(fate), артория_пендрагон_(купальник_архера)_(судьба)
cure_flora, лечение флоры
kunoichi_tsubaki_no_mune_no_uchi, куноичи_цубаки_но_муне_но_учи
bloomers_pull, блумерс_пулл
fake_claws, фальшивые когти
jeanne_d'arc_(girl_from_orleans)_(fate), жанна_д'Арк(девушка Из_орлеана)_(судьба)
zettai_karen_children, зеттай_карен_детям
stuffing, начинка
wild_arms_1, дикие оружия_1
bishie_sparkle, биши_спаркл
cordelia_(fire_emblem), корделия(огненное объединение)
komori_kiri, комори_кири
kantai_collection_(anime), коллекция кантай(аниме)
acolyte_(ragnarok_online), послушник(рагнарек онлайн)
clara_(honkai:_star_rail), клара(хонкай: звездный рельс)
melody_(projektmelody), мелодия(projektmelody)
holding_star, удерживающая звезда
underlighting, подсветка
shibari_under_clothes, шибари_под_одеждой
genre_connection, genre_connection - соединение по жанру
horn_(instrument), рожок(инструмент)
alolan_raichu, алолан_райчу
amada_ken, амада_кен
empty_picture_frame, пустая рамка для картины_изображения
tentacle_grab, щупальца_граб
panties_around_ankles, трусики вокруг лодыжек
after_battle, после битвы
xu_fu_(fate), xu_fu_(судьба)
p-chan, пи-тян
purple_sweater_vest, пурпурный_свитер_вест
submission_hold, удержание заявки
engine, двигатель
naked_necktie, обнаженная шлюшка
poker, покер
nier_(granblue_fantasy), ниер_(granblue_fantasy)
asari_nanami, асари_нанами
historical_event, историческое событие
star_trail, звездный след
nausicaa, навсикая
navel_focus, пупок_фокусирован
italy, Италия
kana_anaberal, кана_анаберальная
sword_art_online_alternative:_gun_gale_online, sword_art_online_ альтернативный вариант:_gun_gale онлайн
ch'en_the_holungday_(arknights), чен_те_холунгдей_(аркнайты)
pandora_hearts, сердца пандоры
two-tone_sleeves, двухцветные рукава
open_pajamas, открытые пижамы
yuunagi_tsubasa, юнаги цубаса
kamen_rider_555, камен_райдер_555
zentreya, зентрея
seiren_academy_school_uniform, девичья_академия_школа_единая
tachibana_miya, татибана_мия
haibane_renmei, хайбане_ренмэй
yagami_iori, ягами_иори
happy_anniversary, счастливого юбилея
arisa_bunnings, ариса_буннингс
youtube_logo, ютуб_logo
eve_(stellar_blade), ева(звездный клинок)
ichigo_(cookie), ичиго(печенье)
okamoto_condoms, окамото_конды
arsene_lupin_iii, арсений_лупин_iii
komasan, комасан
idolmaster_live_for_you!, идолмастер_живу_ для_ тебя!
bikini_in_mouth, бикини во рту
mimi_(princess_connect!), мими(принцесса, подключайся!)
resting, отдыхающий
loose_bikini, свободный_бикини
kanna_(cookie), канна(печенье)
kimi_to_semi_blue_(idolmaster), кими_то_семи_блу_(мастер кумиров)
terraria, террария
deal_with_it_(meme), разберись с этим(мем)
ning_hai_(azur_lane), нингхай(азурская долина)
kageyama_shien, кагеяма_шиен
holding_cloth, удерживающая ткань
source_quote, цитата из источника
eagle_union_(emblem), eagle_union_(эмблема)
toriel, ториэль
x-ray_vision, рентгеновское зрение
yellow_pajamas, желтая пижама
shaved_head, бритая голова
wild_tiger, дикий тигр
kawashima_mizuki, кавасима_мизуки
caterpillar, гусеница
pointing_to_the_side, указывающий на сторону
amane_misa, амане_миса
latin_text, латинский текст
kiriko_(overwatch), кирико_(наблюдатель)
princess_tutu, принцесса туту
scrape, соскрести
torn_kimono, порванное кимоно
lyn_(blade_&_soul), линь(клинок и душа)
alca_(wakatanka4), алька(вакатанка4)
blue_rose_(tiger_&_bunny), голубая роза(тигрица и кролик)
crack_of_light, трещина_света
blunt_sidelocks, тупые блокировки
glove_cutout, вырезка из перчатки
indonesian_commentary, индонезийский комментарий
dorothy_(arknights), дороти(аркнайтс)
hoshiguma_yuugi_(kimono), хошигума_юги(кимоно)
selen_tatsuki_(1st_costume), селена_тацуки(1-й костюм)
ooarai_naval_school_uniform, ооараи_навал_школа_единая
kaitou_kid, кайтоу_кид
shiroko_(cycling)_(blue_archive), широко_(езда на велосипеде)_(синий архив)
beaver_ears, бобровые уши
female_builder_(dqb2), женский_стройщик(dqb2)
dynamite, динамит
paper_mario:_the_thousand_year_door, бумажный_марио:_тысячелетний_дорог
one_piece_treasure_cruise, one_piece_treasure_круиз
moriya's_iron_rings, обручальные кольца Мории
tomoe_gozen_(swimsuit_saber)_(first_ascension)_(fate), томоэ_гозен_(купальник_с мечом)_(первое восхождение)_(судьба)
koishi_komeiji's_heart-throbbing_adventure, захватывающее приключение коиши комейджи
sky:_children_of_the_light, небо: "дети света"
wooden_lantern, деревянный фонарь
antonio_salieri_(fate), антонио_салиери_(судьба)
knitting_needle, вязаная игла
aircraft_carrier_princess, воздушное судно_прицеп_принцесса
fujiwara_hajime, фудзивара_хаджиме
m._bison, м. Бизон
double_anal, двойной канал
kanamori_sayaka, канамори_саяка
palworld, мир друзей
astaroth_(shinrabanshou), астарот(шинрабаншоу)
tenkuu_no_shiro_laputa, тенкуу_но_широко_лапута
shiny_footwear, блестящая обувь
alpaca_tail, альпакий хвост
stargazing, рассеянность
breast_awe, сосать грудь
looking_at_flowers, смотрю на цветы
dokibird_(vtuber)_(retro_doki), докибирь_(втубер)_(ретро_доки)
otome_game_no_hametsu_flag_shika_nai_akuyaku_reijou_ni_tensei_shite_shimatta, отоме_игра_но_хаметсу_флаг_шика_наи_акуяку_рейджоу_ни_тенсей_шите_шиматта
disneyland, диснейленд
aqua_horns, акварельные рога
shino_to_ren, сино_то_рен
subway, метро
tickle_torture, пытка щекоткой
todoroki_hajime, тодороки_хаджиме
sailboat, парусник
chastity_belt, пояс целомудрия
